id,Job Title,Extracted Skills
10,Database Administrator,"ai, angular, angularjs, architecture, automation testing, azure, bitbucket, communication, computer vision, confluence, couchdb, cybersecurity, data visualization, data warehouse, erp, ethereum, flutter, github, github actions, go, google cloud, huggingface, illustrator, jquery, junit, kubernetes, linux, lua, mercurial, natural language processing, neural networks, numpy, nuxt, oauth, oracle, puppet, r, restful, ruby, ruby on rails, rust, scrum, security, selenium, sql, swiftui, tableau, uml, unit testing, unix, vue, vue.js, vuejs"
11,Machine Learning,"ai, amazon web services, aws, computer vision, deep learning, deeplearning, google cloud, keras, machine learning, ml, natural language processing, neural networks, numpy, opencv, python, pytorch, r, rest, scikit-learn, tensorflow"
12,Machine Learning,"ai, amazon web services, architecture, bitbucket, c++, communication, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, dl, git, github, github actions, gitlab, gitlab ci, go, java, junit, lua, machine learning, matlab, ml, perl, power bi, powershell, python, r, rest, scala, scikit-learn, security, solidity, sqlite, statistics, unit testing, vite, web3, webpack, websocket"
13,Software Engineer,"agile, ai, amazon web services, angular, architecture, automation testing, bootstrap, ci/cd, communication, css, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, design patterns, dl, erp, express, git, github actions, go, html, illustrator, integration testing, java, javascript, jenkins, jquery, machine learning, ml, natural language processing, networking, neural networks, objective-c, power bi, powershell, r, react, react native, react.js, reactjs, rest, restful, rust, scala, security, selenium, system design, teamwork, unit testing, web3, webpack, websocket"
14,Software Engineer,".net, agile, ai, airflow, amazon web services, analytical, android, ansible, api, apis, architecture, artificial intelligence, automation testing, aws, azure, bitbucket, blockchain, chai, ci/cd, circleci, communication, computer vision, css, cybersecurity, data analysis, data engineering, data pipeline, data visualization, deep learning, design patterns, dl, elasticsearch, fastapi, figma, firebase, git, github, github actions, gitlab, gitlab ci, go, google cloud, hive, html, huggingface, illustrator, integration testing, ionic, ios, java, javascript, jenkins, jira, junit, kotlin, leadership, linux, machine learning, mariadb, matplotlib, mercurial, microservices, ml, natural language processing, networking, nginx, objective-c, power bi, problem solving, r, rails, react native, redis, rest api, ruby on rails, salesforce, scikit-learn, scipy, security, selenium, sharepoint, solid, solidity, spring, spring boot, sqlite, statistics, swift, swiftui, system design, tailwind, tcp/ip, typescript, unit testing, unix, vite, xamarin, xml"
15,Java Developer,"agile, ai, airflow, amazon web services, analytical, android, angular, ansible, api, apis, architecture, artificial intelligence, automation testing, bitbucket, blockchain, c++, chai, ci/cd, circleci, communication, computer vision, css, cybersecurity, data analysis, data engineering, data pipeline, data visualization, deep learning, design patterns, elasticsearch, fastapi, figma, firebase, git, github, github actions, gitlab, gitlab ci, hive, html, http, huggingface, illustrator, integration testing, ionic, ios, java, javascript, jenkins, jest, jira, junit, kotlin, leadership, linux, machine learning, mariadb, matplotlib, mercurial, microservices, ml, mocha, natural language processing, networking, neural networks, nginx, node.js, nodejs, objective-c, power bi, powershell, problem solving, r, rails, react, react native, redis, rest, rest api, ruby on rails, scikit-learn, scipy, security, selenium, sharepoint, solid, solidity, spring, spring boot, sqlite, statistics, svn, swift, swiftui, system design, tailwind, tcp/ip, teamwork, typescript, unit testing, unix, vite, vue, web3, webpack, websocket, xamarin"
16,Wordpress Developer,"adobe xd, babel, bert, bootstrap, communication, crm, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, dl, erp, go, html, java, javascript, jquery, kubernetes, mercurial, ml, mysql, php, r, security, sql, transformers"
17,iOS Developer,"adobe xd, babel, bert, communication, cybersecurity, go, ionic, ios, kubernetes, r"
18,Database Administrator,"ai, api, architecture, azure, communication, cypress, data warehouse, dl, erp, ethereum, express, expressjs, firebase, leadership, lua, networking, neural networks, oracle, postgres, postgresql, r, react, react native, react.js, reactjs, redis, rest, rest api, restful, security, sharepoint, solid, sql, sql server, teamwork, trello"
20,DevOps Engineer,"ai, amazon web services, ansible, architecture, artificial intelligence, automation testing, aws, bash, bitbucket, chef, ci/cd, circleci, clean code, cybersecurity, data engineering, design patterns, devops, dl, dynamodb, elasticsearch, gcp, git, github, github actions, gitlab, gitlab ci, go, integration testing, java, jenkins, junit, kafka, kubernetes, linux, microservices, mongodb, nosql, postgres, postgresql, power bi, powershell, puppet, python, qa, r, scala, scikit-learn, scipy, security, shell, solidity, sql, sqlite, system design, terraform, unit testing, vite, web3, webpack, websocket"
21,Database Administrator,".net, ai, amazon web services, asana, asp.net, cassandra, communication, data warehouse, erp, linux, lua, microservices, networking, next.js, node.js, oracle, problem solving, r, react.js, scala, security, sql, sql server, vue.js"
22,Wordpress Developer,"ai, architecture, communication, css, git, go, html, java, javascript, jquery, mercurial, ml, r, svn"
23,JavaScript Developer,"agile, ai, amazon web services, analytical, api, apis, communication, dl, docker, erp, flask, git, go, integration testing, java, javascript, junit, leadership, less, linux, microservices, ml, postgres, postgresql, power bi, powershell, problem solving, python, r, scrum, sql, swiftui, system design, teamwork, unit testing, web3, webpack, websocket"
24,Database Administrator,".net, adobe xd, agile, ai, amazon web services, ansible, apache, apache spark, api, architecture, artificial intelligence, asp.net, automation testing, azure, babel, bert, bitbucket, chef, circleci, clean code, communication, computer vision, confluence, cybersecurity, cypress, data engineering, data pipeline, data warehouse, deep learning, design patterns, devops, dl, docker, elasticsearch, erp, ethereum, etl, express, expressjs, firebase, flutter, go, google cloud, hive, http, huggingface, integration testing, jenkins, jest, jquery, keras, kubernetes, laravel, leadership, less, lua, machine learning, mercurial, microservices, natural language processing, neo4j, networking, neural networks, next.js, nextjs, node.js, nodejs, objective-c, opencv, oracle, perl, postgres, postgresql, power bi, powershell, problem solving, puppet, pytest, r, react, react native, react.js, reactjs, redis, rest, rest api, restful, salesforce, scikit-learn, seaborn, security, selenium, sharepoint, shell, sketch, sklearn, sql, sql server, sqlite, svelte, system design, tableau, teamwork, tensorflow, terraform, transformers, trello, typescript, unit testing, vite, vue, vue.js, vuejs, web3, webpack, websocket"
25,PHP Developer,"amazon web services, communication, css, erp, go, html, jquery, ml, php, power bi, powershell, python, r, web3, webpack, websocket"
26,iOS Developer,"agile, ai, api, apis, dl, git, go, ios, mercurial, objective-c, r, rest, restful, svn, swift"
27,Java Developer,"ai, amazon web services, artificial intelligence, aws, babel, chai, communication, css, data pipeline, data visualization, deep learning, dl, express, git, github, graphql, html, integration testing, java, javascript, jest, kotlin, linux, machine learning, matplotlib, ml, mocha, node.js, oop, power bi, powershell, r, react, rest, selenium, solid, solidity, sqlite, swiftui, typescript, vue, vue.js, web3, webpack, websocket"
28,Django Developer,"git, python, r"
29,DevOps Engineer,"ai, amazon web services, analytical, api, automation testing, aws, communication, devops, dl, go, integration testing, ios, less, linux, ml, power bi, powershell, pytest, r, scala, security, solid, unit testing, web3, webpack, websocket"
30,JavaScript Developer,"agile, ai, airflow, amazon web services, analytical, android, ansible, api, apis, architecture, artificial intelligence, automation testing, aws, bitbucket, blockchain, bootstrap, chai, ci/cd, circleci, communication, computer vision, css, cybersecurity, data analysis, data engineering, data pipeline, data visualization, deep learning, design patterns, devops, elasticsearch, express, fastapi, figma, firebase, git, github, github actions, gitlab, gitlab ci, go, hive, html, huggingface, illustrator, integration testing, ionic, ios, java, javascript, jenkins, jira, jquery, junit, kotlin, leadership, linux, machine learning, mariadb, matplotlib, mercurial, microservices, ml, mongodb, natural language processing, networking, neural networks, nextjs, nginx, nodejs, nosql, oauth, objective-c, postgres, postgresql, power bi, powershell, problem solving, r, rails, react native, redis, rest, rest api, ruby on rails, scikit-learn, scipy, security, selenium, sharepoint, solid, solidity, spring, spring boot, sql, sqlite, statistics, swift, swiftui, system design, tailwind, tcp/ip, teamwork, typescript, unit testing, unix, vite, web3, webpack, websocket, xamarin"
31,Machine Learning,"ai, amazon web services, api, apis, architecture, artificial intelligence, aws, ci/cd, circleci, data engineering, data pipeline, data warehouse, dl, erp, express, fastapi, gcp, git, gitlab ci, go, http, https, illustrator, java, lua, machine learning, microservices, natural language processing, power bi, powershell, problem solving, python, r, rest, rest api, rust, scala, scikit-learn, scipy, spark, sql, web3, webpack, websocket"
32,PHP Developer,"css, html, integration testing, java, javascript, ml, php, r"
33,PHP Developer,"ajax, angularjs, bootstrap, css, design patterns, expressjs, html, jquery, json, laravel, ml, mysql, next.js, nextjs, node.js, nodejs, php, python, r, react.js, reactjs, sql, vue.js, vuejs"
34,Machine Learning,"ai, amazon web services, architecture, artificial intelligence, aws, data warehouse, erp, google cloud, illustrator, machine learning, microservices, power bi, powershell, pytorch, r, rust, scikit-learn, spark, web3, webpack, websocket"
35,Backend Developer,"ai, ajax, amazon web services, api, apis, artificial intelligence, automation testing, azure, ci/cd, circleci, communication, couchdb, data warehouse, design patterns, dl, docker, dynamodb, erp, git, gitlab ci, go, google cloud, illustrator, java, jenkins, json, junit, mariadb, microservices, mongodb, node.js, nosql, power bi, powershell, r, rest, rest api, rust, scikit-learn, scipy, security, solid, spring, spring boot, sql, unit testing, vagrant, web3, webpack, websocket"
36,DevOps Engineer,"agile, ai, ansible, architecture, artificial intelligence, ci/cd, circleci, devops, docker, git, gitlab ci, ios, jenkins, jira, kubernetes, linux, networking, nginx, python, r, scikit-learn, scipy, shell"
37,Network Administrator,"ai, communication, data analysis, dl, erp, go, networking, neural networks, problem solving, r, security, teamwork"
38,Wordpress Developer,"ai, amazon web services, css, data analysis, data engineering, data pipeline, data visualization, data warehouse, go, html, ml, php, power bi, powershell, r, react, reactjs, web3, webpack, websocket"
39,Network Administrator,"ai, amazon web services, dl, networking, neural networks, power bi, powershell, problem solving, r, security, teamwork, web3, webpack, websocket"
40,PHP Developer,"ai, amazon web services, api, apis, aws, css, data analysis, data engineering, data pipeline, data visualization, data warehouse, design patterns, devops, dl, git, html, java, javascript, ml, mysql, nosql, objective-c, php, power bi, powershell, qa, r, redis, rest, restful, scala, scikit-learn, security, sql, web3, webpack, websocket"
41,Software Engineer,"agile, ai, amazon web services, automation testing, communication, data engineering, deep learning, dl, docker, erp, express, go, integration testing, java, junit, kanban, kubernetes, leadership, less, linux, microservices, ml, natural language processing, networking, neural networks, perl, python, r, rest, security, selenium, shell, soap, spring, tcp/ip, unit testing, xml"
42,Software Engineer,"agile, ai, amazon web services, angular, api, architecture, bitbucket, communication, cybersecurity, data warehouse, django, flask, git, github, github actions, gitlab, gitlab ci, go, illustrator, junit, microservices, nosql, oop, postgres, postgresql, power bi, powershell, python, r, rest, rest api, restful, rust, scikit-learn, security, solidity, sql, sqlite, terraform, transformers, unit testing, vite, web3, webpack, websocket"
43,Java Developer,"agile, ai, amazon web services, automation testing, data analysis, design patterns, dl, erp, go, integration testing, java, oop, oracle, power bi, powershell, r, scala, spring, sql, system design, unit testing, web3, webpack, websocket"
44,Wordpress Developer,"ajax, amazon web services, bootstrap, css, dl, go, html, java, javascript, jquery, microservices, ml, r, swiftui"
45,Node js developer,"angular, api, apis, architecture, clean code, css, express, go, graphql, html, java, javascript, jquery, linux, microservices, ml, mongodb, nosql, r, rest, restful, scala, sql"
46,Flutter Developer,"amazon web services, api, apis, css, design patterns, dl, flutter, go, html, java, javascript, mercurial, microservices, ml, objective-c, php, power bi, powershell, r, react, react native, rest, rest api, scikit-learn, swiftui, system design, transformers, web3, webpack, websocket"
47,Machine Learning,"ai, amazon web services, analytical, api, architecture, artificial intelligence, data analysis, data engineering, data pipeline, data visualization, data warehouse, design patterns, erp, go, illustrator, keras, less, machine learning, ml, power bi, powershell, python, pytorch, r, rest, rest api, rust, scikit-learn, statistics, web3, webpack, websocket"
48,DevOps Engineer,"agile, ai, ansible, artificial intelligence, aws, azure, cassandra, chef, ci/cd, circleci, docker, gcp, git, gitlab ci, go, ios, jenkins, kubernetes, linux, mongodb, nosql, puppet, r, scikit-learn, scipy, shell, sql, unix"
49,iOS Developer,"amazon web services, api, apis, architecture, design patterns, ios, lua, networking, neural networks, objective-c, power bi, powershell, r, solid, system design, teamwork, web3, webpack, websocket"
50,Software Engineer,"agile, ai, automation testing, aws, clean code, communication, go, integration testing, ios, lua, problem solving, pytest, r, unit testing"
51,Flutter Developer,"communication, express, expressjs, oop, r"
52,DevOps Engineer,"agile, ai, analytical, ansible, architecture, artificial intelligence, aws, bitbucket, bootstrap, cassandra, chef, ci/cd, circleci, communication, cybersecurity, devops, docker, erp, git, github, github actions, gitlab, gitlab ci, google cloud, hive, ios, java, jenkins, junit, kafka, kotlin, kubernetes, machine learning, matplotlib, microservices, nodejs, photoshop, plotly, problem solving, puppet, r, scala, scikit-learn, scipy, scrum, security, solidity, spark, spring boot, sqlite, terraform, unit testing, vite"
53,Java Developer,"agile, ai, angular, ansible, api, artificial intelligence, automation testing, aws, chef, ci/cd, circleci, data analysis, design patterns, docker, erp, gitlab ci, go, integration testing, java, javascript, jenkins, natural language processing, networking, neural networks, oracle, puppet, r, react, rest, rust, scikit-learn, scipy, selenium, soap, solid, spring, spring boot, sql, system design, teamwork, unit testing, vagrant"
54,Node js developer,"ai, android, api, architecture, dl, ios, leadership, networking, neural networks, r, rest, rest api, sql, sqlite, swift, teamwork"
55,PHP Developer,"ai, ajax, api, css, dl, git, go, html, java, javascript, jquery, laravel, ml, mysql, nosql, oop, php, python, r, rest, rest api, sql"
56,PHP Developer,"laravel, php, r"
57,DevOps Engineer,"agile, ai, amazon web services, ansible, apache, apache spark, api, architecture, artificial intelligence, aws, chef, ci/cd, circleci, communication, data engineering, data warehouse, devops, docker, erp, ethereum, gitlab ci, go, html, illustrator, jenkins, kubernetes, linux, microservices, mongodb, natural language processing, networking, power bi, powershell, puppet, python, r, redis, rest, rust, scala, scikit-learn, scipy, security, shell, terraform, web3, webpack, websocket"
58,Wordpress Developer,"ai, amazon web services, api, apis, architecture, bitbucket, css, cybersecurity, design patterns, git, github, github actions, gitlab, gitlab ci, go, html, java, javascript, jquery, json, junit, mercurial, ml, php, power bi, powershell, r, rest, restful, scikit-learn, security, solidity, sqlite, svn, system design, unit testing, vite, web3, webpack, websocket, xml"
59,DevOps Engineer,"ai, amazon web services, artificial intelligence, aws, azure, bash, ci/cd, circleci, communication, devops, gcp, git, gitlab ci, jenkins, linux, power bi, powershell, python, r, rust, salesforce, scikit-learn, scipy, security, shell, terraform, unix, web3, webpack, websocket"
60,Wordpress Developer,"ai, amazon web services, architecture, communication, css, dl, git, go, html, java, javascript, jquery, mercurial, ml, power bi, powershell, r, security, svn, web3, webpack, websocket"
61,Machine Learning,"ai, amazon web services, analytical, architecture, aws, bitbucket, chai, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, erp, git, github, github actions, gitlab, gitlab ci, go, hadoop, junit, machine learning, microservices, ml, nosql, oop, power bi, powershell, problem solving, python, r, rest, sass, scikit-learn, security, solid, solidity, sql, sqlite, statistics, unit testing, vite, web3, webpack, websocket"
62,JavaScript Developer,"ai, android, angular, angularjs, api, apis, expressjs, git, ios, java, javascript, jquery, json, next.js, nextjs, node.js, nodejs, r, react.js, reactjs, vue.js, vuejs"
63,DevOps Engineer,"ai, amazon web services, apache, architecture, artificial intelligence, automation testing, aws, ci/cd, circleci, communication, devops, django, dl, gitlab ci, go, google cloud, java, leadership, linux, perl, power bi, powershell, python, qa, r, rails, ruby, ruby on rails, scikit-learn, scipy, web3, webpack, websocket"
64,JavaScript Developer,"agile, ai, amazon web services, analytical, architecture, automation testing, bitbucket, communication, crm, css, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, design patterns, dl, erp, git, github, github actions, gitlab, gitlab ci, go, html, http, https, illustrator, integration testing, java, javascript, junit, less, ml, networking, power bi, powershell, problem solving, r, rust, salesforce, scikit-learn, security, solid, solidity, sqlite, system design, unit testing, vite, web3, webpack, websocket, xml"
65,iOS Developer,"amazon web services, api, apis, architecture, clean code, design patterns, go, ios, lua, networking, neural networks, objective-c, power bi, powershell, r, solid, swift, system design, teamwork, web3, webpack, websocket"
66,Flutter Developer,"agile, ai, android, api, apis, firebase, flutter, git, github, go, ios, java, javascript, r, sql"
67,Node js developer,"angular, api, git, go, java, javascript, networking, neural networks, node.js, r, teamwork"
68,JavaScript Developer,"ai, amazon web services, angular, angularjs, api, architecture, bitbucket, bootstrap, clean code, communication, css, cybersecurity, data warehouse, dl, erp, git, github, github actions, gitlab, gitlab ci, html, illustrator, java, javascript, junit, leadership, microservices, ml, networking, neural networks, objective-c, power bi, powershell, problem solving, r, rest, restful, rust, scikit-learn, security, solid, solidity, sqlite, teamwork, unit testing, vite, web3, webpack, websocket"
69,PHP Developer,"amazon web services, html, java, javascript, jquery, ml, mysql, php, r, sql, web3, webpack, websocket"
70,Database Administrator,"ai, analytical, apache, apache spark, aws, azure, chef, communication, erp, ethereum, etl, go, lua, networking, oop, powershell, problem solving, r, security, shell, solid, sql, sql server"
71,Flutter Developer,"amazon web services, analytical, android, api, communication, flutter, go, problem solving, r, rest, restful"
72,Django Developer,"ai, amazon web services, analytical, apache, apache spark, architecture, artificial intelligence, bitbucket, blockchain, c#, c++, cassandra, chai, chef, ci/cd, circleci, clean code, communication, computer vision, confluence, couchdb, crm, css, cybersecurity, cypress, django, docker, elasticsearch, gcp, github actions, gitlab ci, go, google cloud, grpc, http, https, huggingface, ionic, javascript, leadership, machine learning, mercurial, microservices, mocha, mysql, natural language processing, objective-c, opencv, oracle, powershell, python, pytorch, r, react, react native, react.js, reactjs, salesforce, scala, scikit-learn, scipy, scrum, security, sketch, spacy, sql, statistics, tcp/ip, transformers, typescript, webpack, websocket"
73,Full Stack Developer,"analytical, angular, architecture, communication, erp, go, html, http, java, javascript, ml, qa, r, security, spring, typescript"
74,Flutter Developer,"ai, analytical, android, api, apis, architecture, flutter, ionic, java, linux, r, swift, swiftui, unix"
75,DevOps Engineer,"agile, ai, amazon web services, ansible, apache, api, apis, automation testing, aws, bash, cassandra, chai, chef, communication, data engineering, data warehouse, devops, docker, elasticsearch, git, go, illustrator, integration testing, ios, linux, mysql, nginx, objective-c, postgres, postgresql, power bi, powershell, puppet, python, r, ruby, rust, scala, scikit-learn, security, solid, sql, swift, terraform, vagrant, web3, webpack, websocket"
76,DevOps Engineer,"agile, ai, amazon web services, ansible, apache, api, apis, architecture, aws, ci/cd, circleci, clean code, crm, data engineering, data warehouse, devops, docker, git, go, golang, http, illustrator, jenkins, kafka, kubernetes, leadership, less, linux, microservices, natural language processing, nginx, postgres, postgresql, power bi, powershell, python, r, redis, rest, ruby, rust, sap, scala, security, shell, soap, terraform, web3, webpack, websocket"
77,JavaScript Developer,"ajax, angular, css, dl, go, html, java, javascript, jquery, ml, r, react"
78,Wordpress Developer,"ai, api, apis, architecture, bitbucket, css, cybersecurity, git, github, github actions, gitlab, gitlab ci, go, html, java, javascript, junit, laravel, ml, php, r, scikit-learn, security, solidity, sqlite, unit testing, vite"
79,Full Stack Developer,"agile, ai, angular, api, apis, aws, bootstrap, clean code, dl, git, go, jenkins, networking, neural networks, r, redis, rest, restful, ruby, scala, scrum, teamwork"
80,Full Stack Developer,".net, agile, ai, amazon web services, analytical, android, apache, apache spark, architecture, artificial intelligence, asp.net, bitbucket, blockchain, c#, c++, cassandra, chai, chef, ci/cd, circleci, clean code, communication, computer vision, confluence, couchdb, crm, css, cybersecurity, cypress, docker, elasticsearch, gcp, github actions, gitlab ci, go, google cloud, grpc, html, huggingface, ionic, java, javascript, jquery, machine learning, mercurial, microservices, ml, mocha, natural language processing, objective-c, opencv, oracle, pytorch, r, react, react native, react.js, reactjs, salesforce, scala, scikit-learn, scipy, scrum, security, sketch, spacy, statistics, tcp/ip, typescript, webpack, websocket"
81,Node js developer,"ai, amazon web services, architecture, bitbucket, css, cybersecurity, express, git, github, github actions, gitlab, gitlab ci, go, html, java, javascript, junit, less, mercurial, ml, node.js, nodejs, oop, power bi, powershell, r, rest, scikit-learn, security, solidity, sqlite, transformers, unit testing, vite, vuejs, web3, webpack, websocket"
82,Flutter Developer,"amazon web services, android, automation testing, clean code, communication, dart, data analysis, dl, erp, firebase, flutter, http, integration testing, ios, json, ml, networking, php, power bi, powershell, r, rest, swiftui, unit testing, web3, webpack, websocket, xml"
83,Full Stack Developer,"agile, communication, go, html, java, javascript, ml, mongodb, qa, r, react, scrum"
84,Database Administrator,"ai, architecture, data visualization, data warehouse, express, ios, linux, r, sql, sql server, tableau"
85,Software Engineer,"api, apis, architecture, communication, dl, go, ios, java, linux, microservices, networking, neural networks, photoshop, postgres, postgresql, r, rest, scala, security, ssl, unit testing"
86,Machine Learning,"agile, ai, amazon web services, analytical, apache, apache spark, api, apis, architecture, aws, computer vision, data analysis, data engineering, data pipeline, data visualization, data warehouse, design patterns, dl, go, java, linux, machine learning, ml, power bi, powershell, problem solving, python, r, scala, spark, sql, system design, unix, web3, webpack, websocket"
87,Database Administrator,"ai, analytical, communication, dl, express, go, problem solving, r, teamwork"
88,Java Developer,"architecture, communication, go, java, javascript, r"
89,Database Administrator,"ai, apache, apache spark, chef, cybersecurity, data analysis, ethereum, etl, powershell, r, rest, security, shell, sql, sql server"
90,DevOps Engineer,"ansible, api, apis, chef, erp, linux, puppet, python, r, rest, rest api, terraform"
91,Machine Learning,"ai, amazon web services, api, architecture, artificial intelligence, aws, bert, bitbucket, ci/cd, circleci, communication, cybersecurity, data engineering, data warehouse, deep learning, dl, docker, gcp, git, github, github actions, gitlab, gitlab ci, go, gpt, hadoop, illustrator, junit, keras, kubernetes, lua, machine learning, ml, natural language processing, networking, neural networks, nlp, nltk, numpy, oop, pandas, power bi, powershell, python, pytorch, r, rust, scikit-learn, scipy, security, solidity, spacy, spark, sql, sqlite, system design, teamwork, tensorflow, unit testing, vite, web3, webpack, websocket"
92,Backend Developer,"ai, amazon web services, analytical, architecture, bitbucket, communication, computer vision, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, dl, git, github, github actions, gitlab, gitlab ci, java, junit, leadership, less, ml, php, power bi, powershell, problem solving, python, r, scikit-learn, security, solidity, sqlite, unit testing, vite, web3, webpack, websocket"
93,Machine Learning,"architecture, bitbucket, cybersecurity, data analysis, git, github, github actions, gitlab, gitlab ci, junit, lua, ml, networking, neural networks, r, scala, scikit-learn, security, solidity, sqlite, teamwork, unit testing, vite"
94,JavaScript Developer,"ajax, amazon web services, analytical, api, apis, aws, bootstrap, clean code, css, design patterns, erp, express, git, go, html, http, https, java, javascript, jquery, json, less, microservices, ml, natural language processing, nodejs, power bi, powershell, problem solving, r, react, react.js, reactjs, rest, restful, security, solid, ssl, swiftui, system design, web3, webpack, websocket"
95,Database Administrator,"ai, r"
96,Full Stack Developer,"agile, ai, ci/cd, http, java, json, ml, oauth, r, rest, spring, springboot"
97,Machine Learning,"ai, amazon web services, api, architecture, bitbucket, cybersecurity, data analysis, data engineering, data pipeline, data visualization, data warehouse, deep learning, git, github, github actions, gitlab, gitlab ci, go, junit, lua, machine learning, microservices, natural language processing, nlp, power bi, powershell, python, pytorch, r, scala, scikit-learn, security, solidity, sql, sqlite, statistics, tableau, tensorflow, unit testing, vite, web3, webpack, websocket"
98,Wordpress Developer,"api, css, git, go, html, java, javascript, jquery, ml, mysql, oop, php, r, sql, xml"
99,Software Engineer,"agile, ai, amazon web services, api, apis, architecture, aws, data pipeline, data warehouse, dl, erp, express, fastapi, git, go, http, https, illustrator, java, lua, microservices, natural language processing, power bi, powershell, r, rest, rest api, rust, sql, swiftui, web3, webpack, websocket"
100,Node js developer,"communication, data engineering, design patterns, go, node.js, r, system design"
101,Machine Learning,"amazon web services, analytical, architecture, data analysis, data warehouse, go, illustrator, java, machine learning, ml, power bi, powershell, problem solving, python, r, rust, scala, statistics, web3, webpack, websocket"
102,Wordpress Developer,".net, asp.net, css, html, java, javascript, ml, next.js, node.js, perl, r, react.js, sharepoint, vue.js"
103,Node js developer,"ai, clean code, dl, go, java, javascript, r"
104,Database Administrator,".net, ai, aws, dl, erp, etl, go, nosql, postgres, r, security, sql, sql server"
105,Java Developer,"agile, ai, ajax, amazon web services, angular, angular.js, architecture, aws, data engineering, data visualization, design patterns, git, go, java, javascript, jenkins, jquery, json, kanban, linux, mongodb, natural language processing, networking, neural networks, nosql, oop, power bi, powershell, python, r, react, rest, restful, spring, sql, ssl, statistics, teamwork, web3, webpack, websocket"
106,JavaScript Developer,"agile, amazon web services, api, apis, architecture, css, html, java, javascript, matlab, ml, mocha, objective-c, power bi, powershell, r, scikit-learn, swiftui, web3, webpack, websocket"
107,iOS Developer,"api, apis, ios, networking, neural networks, objective-c, r, svn, swiftui, teamwork"
108,PHP Developer,"ai, architecture, git, mysql, php, r, scala, solid, sql, teamwork"
109,Machine Learning,"ai, amazon web services, analytical, artificial intelligence, chai, clean code, computer vision, data pipeline, data visualization, data warehouse, deep learning, dl, erp, go, hadoop, illustrator, javascript, leadership, machine learning, natural language processing, objective-c, oop, power bi, powershell, problem solving, python, r, rust, scikit-learn, scipy, spark, sql, statistics, tableau, tcp/ip, typescript, web3, webpack, websocket"
110,JavaScript Developer,"ai, amazon web services, angular, css, dl, html, java, javascript, jquery, ml, power bi, powershell, r, react, scala, solid, swiftui, web3, webpack, websocket"
111,Backend Developer,"ai, amazon web services, api, apis, architecture, django, express, git, go, microservices, mysql, nodejs, power bi, powershell, r, sql, web3, webpack, websocket"
112,Java Developer,"ai, amazon web services, android, angular, automation testing, communication, computer vision, dart, erp, firebase, go, http, integration testing, ionic, ios, networking, neural networks, power bi, powershell, r, react, reactjs, rest, teamwork, unit testing, web3, webpack, websocket"
