id,Job Title,Summary
10,Database Administrator,richardsontexasunited state bausp4 boeing company currently seeking database administrator join 's richardson texas location responsibility include limited following partner customer gather document requirement produce product specified customer must able work across diverse team software system engineer training development specialist software technician security specialist dynamic high-paced environment must able successfully develop plan establish database performance baseline ; monitoring performance trend identify correct problem ; customizing existing application life project must able assure curriculum integrity security configuration management version control must able collaborate architect technical specialist identify proper hardware software upgrade implementation must able plan install test software upgrade patch must implement database security infrastructure manages user account must work closely project manager database programmer multimedia program develop implement customer ’ learning management system business system development environment must prepare database documentation including standard procedure definition deliverable data dictionary metadata boeing world 's largest aerospace company leading manufacturer commercial airplane defense space security system engineer technician skilled scientist thinker bold innovator dreamer join u build something better customer world typical education/experience technical bachelor 's degree typically 9 year ' related work experience master 's degree typically 7 year ' phd degree typically 4 year ' related work experience equivalent combination education experience technical degree defined four year degree greater mathematic scientific information technology field study basic qualification required position requires active ability obtain u.s. security clearance u government requires u citizenship position requires active top secret clearance security clearance/special program access government access requirement mandatory position much work boeing company classified nature many position require security clearance granting discretion government authority applicant must current top secret security clearance additionally applicant must able obtain program access security clearance upgrade and/or program access request initiated applicant 's acceptance contingent offer filling requisition contingent based applicant 's ability obtain required program access time frame established program management relocation dallas texas authorized appropriate access granted must advanced sql/oracle database design administration knowledge able write script query system generate customer report desired qualification knowledge ibm rational clearcase bnh advisor enterprise ; yes 10 time commercial derivative aircraft individual contributor standard united state ; boeing company
11,Machine Learning,"Remote, Any where
2 - 4 years
₹8L - ₹12L / yr (ESOP available)
Skills
TensorFlow
OpenCV
Python
Artificial Neural Network (ANN)
Deep Learning
Image Processing
PyTorch
Amazon Web Services (AWS)
Cloud Computing
computer vision
Job description
ClearQuote app helps assess damages in cars based on images/videos - used by insurers, mobility providers and workshops.

What’s on offer – Opportunity to lead development of a global tech product, competitive pay and stock options

Role
1) Work on identifying and implementing pre-processing of various datasets (images, videos)
2) Identifying / testing the right techniques / deeplearning libraries to use to train the model and infer parts and degree of damage in test data
3) Deploy training and inferencing models on cloud (and edge if required)
4) Work on improving accuracy of detection
5) Based on experience and ability - lead the rest of the computer vision engineering team

Requirements:

1)Experience in Deep learning using Convolutional Neural Networks
2)Sound knowledge of Object detection,Semantic segmentation,Instance segmentation(Faster-RCNN,Single shot multibox detector(SSD),Mask RCNN,Mobile-net)
3)Classic Image processing techniques using OpenCV
4)Proficiency in Python
5)Should be comfortable building ML models on various deep learning and machine learning libraries using tensorflow,keras,scikit-learn,Numpy,etc
6)Familiarity with Amazon Web service( Elastic Cloud Compute(EC2),Amazon Sagemaker) and deployment
7)Must have work experience in image processing, computer vision areas (exposure to other machine learning / deep learning areas a bonus)
8) Experience in working with Pytorch preferred
9) Strong basics in machine learning, computer vision
10) Prior experience in implementing research papers into production models
11) Experience in startup environment is preferred"
12,Machine Learning,"Excited by Big Data, Machine Learning and Predictive Software? At Amazon, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving Terabytes of data."
13,Software Engineer,"Agile experience is a must. Jenkins, Ci/CD, Selenium."
14,Software Engineer,"JOB DESCRIPTION

Job Title: Software Engineer I

SUMMARY

The Software Engineer I is responsible to design, code, and/or configure solutions for moderate complexity Agile stories, as well as writing automated unit and integration-level tests. ESSENTIAL JOB FUNCTIONS/RESPONSIBILITIES
Designs, codes, and/or configures solutions for moderate complexity Agile stories with some guidance from more a senior software engineer."
15,Java Developer,Experience in an agile environment. B.S.
16,Wordpress Developer,Able to deliver projects before deadlines. Able to work on multiple Frameworks such as Zend etc.
17,iOS Developer,"Job Code : ID190704

Job Description:
Experience: 1 to 2 years in iOS Development
Native iOS development
Hybrid app development with PhoneGap, Ionic, Titanium will be an advantage
Database knowledge is must
Understanding about Requirement Gathering - Client interactions
Good communication skills
Qualification: BE( Computers/ Information Technology), MCA, BCA, BSc (Computer Science)
Location: Margao Goa"
18,Database Administrator,job description summary highly skilled technical role ultimate responsibility support hpe oracle database environment providing technical expertise designing building tuning installing configuring troubleshooting database middleware technology provide technical leadership large complex database build migration effort work closely engineer architect project program manager define design strategy better data management infrastructure process role responsible developing documenting maintaining logical physical database model ; ensuring design comply standard guideline procedure ; research analyze impact proposed change ensure corporate data effectively implemented managed secured provide consulting support application development team well dba 's complex integrated system including distributed solution provide analysis guidance migration consolidation effort job description position provide support architecture planning installation monitoring configuration administration testing evaluating troubleshooting oracle database instance collaborate application infrastructure team adherence best practice process standardization key responsibility position monitor ensure high availability environment quickly respond diagnose problem utilize leverage new feature underlying technology work closely enterprise database manager.. another area responsibility position provide leadership role create awareness guidance application development business team migrate consolidate re-platform various application oracle no-sql technology work minimal supervision receives general direction enterprise database manager responsibility design backup/recovery procedure ensure validity develop archival strategy conforms hpe security audit guideline develop execute appropriate delivery team model e.g resource skill process management meet current projected needs/constraints support implementation new release dbms software ; plan implement new feature appropriate mentor le experienced dba 's application developer ensure adequate 24x7 support develop “ ” procedure deal incident perform database migration merging consolidation needed participate change incident management procedure problem resolution analyze database implementation method ensure line company policy proactively monitor operation log optimize system performance using available monitoring db optimization tool additional job description experience oracle data guard standby/failover administration highly skilled oracle 10g/11g/12c database administration hand experience query tuning performance optimization db ops automation alert monitoring backup restore hand experience data modeling design knowledgeable oracle rac & asm administration knowledgeable pl/sql procedure package development experience managing high performing team database ability prioritize workload work effectively pressure high degree independence must versatile flexible proactive resolving technical issue ability handle diverse situation rapidly changing priority deadline experience setting database disaster recovery site plus excellent interpersonal communication skill exposure sql server no-sql database technology plus education professional experience bachelor ’ degree computer science information technology related field least 10+ year hand work lead support production database previous leadership team management experience strong organizational time management skill communicate/work effectively team environment effective meeting deadline li-mf1 hewlett packard enterprise eeo f/m/protected veteran/ individual disability hpe comply applicable law related use arrest conviction record including san francisco fair chance ordinance similar law consider employment qualified applicant criminal history
20,DevOps Engineer,"Ideally, they would have experience in
supporting the large scale and highly critical applications. Experience in on or more of Bash, Go, Python, JS."
21,Database Administrator,country place mortgage founded 1995 subsidiary cavco industry inc. national lender providing wide variety financing option purchaser manufactured home cavco industry inc. wa founded 1965 fast growing publicly traded company disrupting manufactured home industry headquartered phoenix arizona cavco leading designer builder manufactured home modular home commercial building park model rv ’ vacation cabin company ’ insurance group standard casualty offer wide range insurance product manufactured home owner country place mortgage seller servicer mortgage fannie mae freddie mac fha authorized lender ginnie mae mortgage-backed security issuer employee biggest asset play integral role meeting need customer come part team offering many opportunity utilize talent atmosphere support encourages realize full potential come share helping people realize dream opportunity home ! come share story part building something amazing !
22,Wordpress Developer,· Creating the website architecture. · Conducting website performance tests.
23,JavaScript Developer,"Code reviews. Conflict Management: As a team, we are proactive in dealing with conflict."
24,Database Administrator,qualification essential qualification related ba/bs two year work experience area database design administration unrelated ba/bs four year work experience area database design administration experience troubleshooting resolving desktop server network issue experience providing technical support microsoft dynamic application support preferred qualification excellent verbal written communication skill attention detail effective problem-solving organizational decision-making ability demonstrated ability meet deadline prioritize task manage project work independently experience knowledge microsoft window operating system microsoft office platform server administration sql server microsoft dynamic 365 great plain certification peoplesoft experience job hiring salary range $ 59000- $ 72000 depending qualification position located within classroom technical service ct - unit within office classroom management ocm - support unique need educational research environment offering design installation maintenance service classroom technology duty position include leading supporting server software administration telecommunication equipment associated network device department ’ technical engineering service administrative iso university staff position monitor system server process resource help troubleshoot problem arise additionally position recommend solutions/changes system settings/business process identify work-arounds implemented permanent fix made purpose work performed identification design assessment installation maintenance related av telecommunication hardware software related network peripheral device resource support iso design installation delivery service av/it good service u-wide classroom boardroom meeting room teaching learning conferencing technology system administration 50 responsible technical administrational operation & maintenance ct server system responsible server network administration oit department manager responsible establishing policy procedure necessary meet department client need provide support special application requiring extensive knowledge & expertise university-wide iso service work internal & external vendor developing solution unique software issue update upgrade server latest service pack security update add/remove/adjust user access ct server system keeping accurate record user assist rapid thorough resolution production issue evaluate document report issue management vendor evaluate issue pattern plan execute process improvement system upgrade ensure documentation business requirement create detailed functional/technical specification maintain in-depth knowledge business process one multiple business area work internal external contract support resource regarding system administration duty function ct application expert maintenance enhancement 25 define configuration step standard setup troubleshoot problem recommend configuration process improvement resolve complex hardware/software compatibility concern develop installation script test program meet system requirement perform routine duty maintaining network/domain via wbob hosted virtual server farm efficiency security data file data correctness back-up application usability licensing server uptime performance provide network hardware software support microsoft dynamic 365 & gp microsoft pdk sql report efs software perceptive content software software support av engineering window 10 office peoplesoft financial software process maintain related documentation library procedure disaster recovery planning procedure research recommend test hardware service package ocm-cts assist maintaining network configuration file manage administer telecommunication plan account iso staff participate it-related project it-related procurement assist developing resolution solution technical issue user support 20 develop deliver training program end user lead development new support procedure standard increase effectiveness efficiency provide support complex computing environment area hardware software network check report user ’ desktop laptop workstation performance provide technical support user required desktop mobile device printer peripheral maintain extensive library user training aid material needed assist creating report query requested user 5 perform duty assigned including deptartmental project related primary job function assist development process improvement attaining departmental goal related improving efficiency cost effectiveness customer service asr position offer following benefit university paid contribution 10 salary retirement account - vested immediately 22 paid vacation day per year addition paid medical leave 11 paid holiday reduced tuition opportunity covering 75 - 100 eligible tuition excellent affordable health care benefit wellness program opportunity earn lower health care rate free disability insurance free basic life insurance benefit 115 base salary $ 200000 maximum department mission academic support resource asr make positive difference student ’ life asr committed cultivating sustaining environment diverse equitable inclusive better able serve represent university community ensuring value difference individuality knowledge skill ability asr employee include job knowledge communication problem solving/analysis development leadership teamwork customer service office classroom management ocm directly support high quality teaching learning faculty student university classroom ocm central point contact single point responsibility accountability general purpose classroom study space issue ocm national leader coordination operation classroom focused continual improvement teaching learning environment apply application must submitted online considered position please click apply button follow instruction completing online application please upload following document ensure full consideration cover letter express interest qualification position updated resume name contact information three professional reference willing speak freely qualification character additional document may attached application accessing `` activity '' page uploading document request accommodation application process please e-mail employ @ umn.edu call 612 624-uohr 8647 diversity university recognizes value importance diversity inclusion enriching employment experience employee supporting academic mission university committed attracting retaining employee varying identity background university minnesota provides equal access opportunity program facility employment without regard race color creed religion national origin gender age marital status disability public assistance status veteran status sexual orientation gender identity gender expression learn diversity u http //diversity.umn.edu background check information offer employment contingent upon successful completion background check presumption prospective employee eligible work criminal conviction automatically disqualify finalist employment u university minnesota twin city umtc university minnesota twin city umtc among largest public research university country offering undergraduate graduate professional student multitude opportunity study research located heart one nation 's vibrant diverse metropolitan community student campus minneapolis st. paul benefit extensive partnership world-renowned health center international corporation government agency art nonprofit public service organization
25,PHP Developer,"Must have good interpersonal skills. Must have Innovative, knowledgeable, creative, and hard-working
Key Skills
PHP, WordPress, HTML, CSS
Required Experience and Qualifications
Exp."
26,iOS Developer,"Ensure the performance, quality, and responsiveness of applications. Experience with performance and memory tuning with tools (such as Instruments, depending on project needs)."
27,Java Developer,"Software Developer

Who we are:
The American Physical Society (APS) is a nonprofit membership organization working to advance and diffuse the knowledge of physics through its outstanding research journals, scientific meetings, and education, outreach, advocacy, and international activities. Experience with server side development (node.js, express, etc.)"
28,Django Developer,Developing back-end components. Coordinating with front-end developers.
29,DevOps Engineer,"Build and maintain tools for deployment, monitoring and operations. Maintain integrity of the network, server deployment and network security."
30,JavaScript Developer,"*
Support the development of server and web applications that are based on JavaScript (ExtJS 6, NodeJS). Ability to adapt *- Being in a startup lifestyle and new technology space, we look for team members that are always willing to adapt to the constant change."
31,Machine Learning,"For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com. Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness."
32,PHP Developer,"Requirements:

Integration of user-facing elements developed by front-end developers
Build efficient, testable, and reusable PHP modules
Understanding the fully synchronous behavior of PHP
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. Software Skills:

front-end technologies, such as JavaScript, HTML5, and CSS3"
33,PHP Developer,"1 - 3 years experience
Front-end skills: HTML, CSS, JS, Jquery, Ajax, Bootstrap
Backend: Mysql, PhpMyadmin
Frame-works: Laravel, Codeignitor, Zend
Understanding of MVC design patterns
Knowledge of object oriented PHP programming
Job Type: Full-time
Salary: Up to ₹400,000.00 per year
Schedule:
Monday to Friday
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Licence:
Core PHP (Preferred)
Programming Languages needed:
Python (Preferred)"
34,Machine Learning,"About the role

Compass is looking for a Staff Machine Learning Scientist to help us build the future of real estate. What we look for:

Experience working on machine learning in a product oriented environment."
35,Backend Developer,Experience in deploying application on Cloud- Azure. Strong deployment experience on Azure functions.
36,DevOps Engineer,"Experience with webservers like nginx, tomcat and JBoss. Experience with monitoring tools like zabbix, nagios,AppDynamics."
37,Network Administrator,"Experience in network monitoring in NOC/ SOC to identify security breaches, service outages, network performance issues. Problem solving skills on checkpoint firewalls, switching and routing devices."
38,Wordpress Developer,"Good understanding of cross-platform and cross-browser issues, and web performance optimization. Experience with Reactjs is a plus."
39,Network Administrator,"Job Duties:
Hardware and Software installation and troubleshooting management. Strong knowledge of Network and Server maintenance."
40,PHP Developer,"You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well."
41,Software Engineer,Strong experience in Multithreading. 7.
42,Software Engineer,"Company Overview

At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently."
43,Java Developer,"Responsibilities
Analyze, design, program, debug, and modify software enhancements, and/or new products. Write scalable, reliable, & maintainable code and perform testing and debugging of applications."
44,Wordpress Developer,"Greetings of the day!!!! as and when needed *
*Working with Google Analytics, Stat counter and webmaster tools *
*Keyword analysis *
*Handle Google updates effectively to manage the ranking *
Job Type: Full-time
Schedule:
Day shift
Experience:
4: 1 year (Preferred)
Work Remotely:
No"
45,Node js developer,"Job Description
3+ years’ experience working on Node/Express and Angular Node JS, Angular Js HTML5, CSS, Node JS, JQuery and JavaScript stacks, MongoDB, Familiarity with event-driven, asynchronous I/O frameworks
Expertise in any Relational or NoSQL databases
Experience in developing RESTful/GraphQL APIs and microservices based applications
Comfortable with software development best practices: unit tests, code reviews, continuous integration, deployment, secure and clean code. Experience is Linux development environment
Hands on development experience within microservice based architecture
Knowledge of server/client interactions (e.g."
46,Flutter Developer,We are looking for Experienced & well knowledge in React Native & Flutter candidate. Note : - Please don't Apply job if you can't travel till Bhayander.
47,Machine Learning,"Our vision is to become the most trusted company to provide HR Automation Solutions in the world, through an unrelenting commitment to product quality and service excellence. At HireXP, technology is at the heart of everything we do."
48,DevOps Engineer,Hands-on experience on working with CI/CD tools like jenkins. Hand-On Experience of working with Monitoring tools like Icinga.
49,iOS Developer,"We are looking for an iOS developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications. Responsibilities
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features."
50,Software Engineer,2. 3.
51,Flutter Developer,"*Candidates having project closure experience will be preferred
*Strong in OOPS, functional Programming
*Exp with offline storage, threading, low battery usage and performance tuning

*Strong communication skills

1.00-3.00 Years

Bachelor Of Computer Application (B.C.A), Master in Computer Application (M.C.A)"
52,DevOps Engineer,"Responsibilities:
â€¢ Setup, monitor and maintain DevOps cloud-based SAAS products and solutions involving IoT, big data, microservices, Cloud, containers and machine learning
â€¢ Maintain security and data privacy, ensure compliance and perform required security, compliance and performance tests
â€¢ Work with architects on deployment architecture, security and CI/CD and then implement these on the cloud

Qualifications:
â€¢ 2 to 5 years' experience in a DevOps role in projects involving Java, NodeJS, J2EE, messaging, Microservices and Containers for complex, scalable, SAAS or enterprise grade products
â€¢ Experience in Big data technologies such as Spark, Cassandra, HDFS, Kafka, Druid, Hive, HBase, ELK stack in a complex Big Data product/project
â€¢ Experience with agile and Scrum
â€¢ Experience in implementing CI/CD using Jenkins/Bamboo and Chef/Ansible/Puppet/Terraform
â€¢ Infrastructure and APM monitoring using tools such as Zabbix, Nagios, Splunk, PagerDuty, Glowroot, AppDynamics etc. â€¢ Self-driven and motivated with the desire to work in a fast-paced, results-driven agile environment with varied responsibilities."
53,Java Developer,"· Experience in Oracle, PL/SQL and other RDBMS. · AWS certifications or Java certifications is a plus."
54,Node js developer,"Swift (9/10 or more)
2. realm.io (8/10 or more)
3. Node Js (8/10 or more)
4."
55,PHP Developer,"Key Responsibilities: -
Working in a cross-functional team, collaborating with peers during the entire SDLC
Good hands-on programming skills with Codeigniter & Core PHP, Laravel, CakePHP, Zend for application development & Magento experience will be an advantage, Must have good knowledge of OOPS Concepts. Required Skills: -
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Familiarity with SQL/NoSQL databases and their declarative query languages."
56,PHP Developer,"Hiring for PHP- Laravel Developers

Experience: 3-5 years

Location: Kinfra Park, Trivandrum

Candidate should have at least 1 year experience with laravel framework

Job Type: Full-time

Work Remotely:
* Temporarily due to COVID-19"
57,DevOps Engineer,"As an industry leader and Software-as-a-Service provider our mission at 8x8, Inc. (NYSE:EGHT) is to transform the future of business communications. We are using cloud infrastructure (AWS), containerization, CI and CD process."
58,Wordpress Developer,"Also, an understanding of the entire web development process, including design, development, and deployment is preferred. Skills and Qualifications

Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery
Experience building user interfaces for websites and/or web applications
Experience designing and developing responsive design websites
Comfortable working with debugging tools like Firebug, Chrome inspector, etc."
59,DevOps Engineer,"Responsibilities:

Troubleshoot application deployments, recreate customer issues, build proof of concept applications. Please read them here."
60,Wordpress Developer,Creating the website architecture. Proven work experience as a WordPress Developer.
61,Machine Learning,"· Strong grasp of machine learning, data mining and data analytics techniques
· Strong Problem solving ability. Preferred Qualifications

· A strong level of proficiency in SAS, R is preferred
· Past experience of putting Machine Learning model in production is preferred."
62,JavaScript Developer,"Javascript developers

As a javascript developer you’ll be responsible for creating frontend application using angular and other similar frameworks. Experience with frontend development frameworks, jQuery and Git will be a bonus."
63,DevOps Engineer,"Experience 5-10 Years
Work location Bangalore
Base location Bangalore
CTC/Budget 20-24 LPA
Technology AWS , CLOUD, DEVOPS
Additional Information

We have an opportunity with with one of our reputed client in Bangalore for DevOps Engineer .

Exp: 5-8 Years, CTC :20-24 LPA (Inclusive 8% Variable)

Interview Process: Questionnaire + WebEx Round (Should be available to complete assignment in weekdays and should be ready for 90 Min WebEx round)

Skill Required (Technical)

Incidents,Production,CI/CD,designing,JBoss,Testing,solution selling,cloud,schedules,indian institute of Technology,QA,aws,SDLC,implementation,solution,devops,automation,Apache Tomcat,scripting,planning,Leadership HIring,developing,Production support,logistic documentation,infrastructure,application development,product development,Python,life insurance,django,perl scripting,Quality Assurance,technology,coordination,IT infrastructure,Processes,transformation,IT product,Java,architecture,support,maintenance,Linux,Advance Excel,Ruby on Rails,strategy,reporting,Automation Testing,tomcat,Solr,orchestration

Skill Required (Other)

Very Good communication skills

Ready to work in bangalore

Responsibilities"
64,JavaScript Developer,"& Product Analytics tools (Pendo, Amplitude, etc.) Day to day, we focus on the give and take."
65,iOS Developer,"Continuously discover, evaluate, and implement new technologies to maximize development efficiency. At Scandid you will:

Architect, Design and build advanced features for iOS Application."
66,Flutter Developer,"Have two or more iOS/Android apps developed with Flutter. Either deployed on the AppStore/Google Play or available on Github
Atleast 1 year of experience in mobile software development using Flutter
Experience with third-party libraries and APIs integration
Should have knowledge about Firebase, SQL, Javascript
Understanding of the Agile development life-cycle
Job Type: Full-time
Salary: ₹20,000.00 - ₹30,000.00 per month
Schedule:
Day shift
Monday to Friday
Experience:
Developer: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
67,Node js developer,Experience in Angular JS/ API development. Strong Javascript front-end/back-end development experience.
68,JavaScript Developer,"• Have meaningful work to do and the education, equipment, and support to do it. Flexible work arrangements."
69,PHP Developer,"2+ years of software development experience in PHP. Experience on web technologies including HTML, Javascript, JQuery."
70,Database Administrator,overview cure start fred hutchinson cancer research center home three nobel laureate interdisciplinary team world-renowned scientist seek new innovative way prevent diagnose treat cancer hiv/aids life-threatening disease fred hutch ’ pioneering work bone marrow transplantation led development immunotherapy harness power immune system treat cancer independent nonprofit research institute based seattle fred hutch house nation ’ first cancer prevention research program well clinical coordinating center woman ’ health initiative international headquarters hiv vaccine trial network career start database administrator iii work closely customer peer troubleshoot complex technical problem ensure smooth operation database server database application dba iii responsible maintaining data integrity protecting data loss responsibility general guidance database administrator iii expected perform range complex assignment project established solution s/he expected provide solution unique complex problem contribute process improvement within database team act resource mentor le experienced colleague dba iii ha in-depth knowledge database application administration expected subject matter expert one area application support limited tier 2 support customer application ; tier 3 support customized application ; tier 3 backup support enterprise application position may perform following responsibility serve technical lead large complicated project provide new improved database service install configure maintain decommission database server database customer/customized application includes initial installation upgrade patching migration on-prem cloud implementation troubleshoot complex issue database platform database customer application design deliver formal informal presentation variety technical topic peer colleague lead hardware/software evaluation database server database platform lead technical evaluation customer application cit participate technical evaluation enterprise application contribute effort improve process meet strategic goal within dba team across multi-disciplinary group fulfill day-to-day operational task associated database application support design implement script perform etl provide 24/7 support mission critical application database rotating basis limited database platform database customer application serve backup 24/7 support enterprise application architect monitor report database application usage availability ensure proper database monitoring alerting response control limit database access compliance data security policy best practice maintain data integrity monitor database server query high performance create technical documentation diagram comprehensive understandable comply departmental process change management problem management incident management duty assigned qualification professional skill ability analyze provide creative innovative solution complex technical problem proven track record coaching mentoring team member practice personal improvement continuous professional technical education training demonstrate excellent customer service relationship building ability interact successfully communicate clearly must exercise high degree discretion judgment dealing customer vendor fred hutch staff promote positive safe work environment minimum qualification bachelor 's degree preferably computer science information system related field ; equivalent work experience 7+ year experience technical position querying experience sql exposure increasing responsibility strong knowledge sql server administration experience cloud based computing microsoft azure and/or aws solid analytical troubleshooting problem solving skill able work cooperatively establish positive working relationship cross-functional team including customer service system storage administrator networking technician reliable self-starter work independently member team strong organizational interpersonal communication written verbal presentation skill demonstrated ability understand long-term impact choice communicate others commitment diversity committed cultivating workplace diverse perspective experience welcomed respected proud equal opportunity vevraa employer discriminate basis race color religion creed ancestry national origin sex age disability marital veteran status sexual orientation gender identity political ideology membership legally protected class affirmative action employer encourage individual diverse background apply desire priority referral protected veteran due disability need assistance/and reasonable accommodation application recruiting process please send request employee service center escmail @ fredhutch.org calling 206-667-4700
71,Flutter Developer,Strong Knowledge in Restful Web Services. Should have Knowledge On Client Requirements Analysis.
72,Django Developer,"Number of Internships available: 5

Duration - 3 Weeks

Skill(s) required - Knowledge of C, C++ programming

Who Can Apply

• B.E. / MSc pursuing or pass-out

Perks

Certificate of Internship
Flexible work hours,
Informal dress code."
73,Full Stack Developer,overview associate front end/full stack developer prolifics seeking associate front end developer java capability proven javascript framework experience successful candidate part elite consulting team responsible design development implementation solution global 1000 customer key responsibility develop application component based java/angular technology stack part global development team business design session architecture review ensure delivery aligns expectation participate code review support qa initiative ensure high-quality delivery design develop solution using integration design pattern single page application framework best practice skills/qualifications required skill strong communication skill ability interface directly client analyst ensure technical requirement delivery alignment bachelor ’ degree computer science software engineering information technology related field strong analytical design skill including ability understand business requirement translate efficient effective technical design work well within large-scale well-structured enterprise environment effective communication presentation collaboration skill excellent trouble-shooting skill ability quickly identify document root cause issue effectively communicate possible resolution work independently effectively self-directed angular 2 experience oo javascript javascript framework typescript cs html5 experience angular 2/4/5 proven success delivering solution framework ui design experience specifically web application plus java web development servlet/jsp spring framework hands-on experience web application development utilizing java web development purpose primarily spring framework experience development service oriented architecture application good understanding object oriented design design pattern knowledge java server page jsp javascript essential experience mv patterned application using javascript framework preferably angular spring cloud experience plus prolifics 36 year prolifics ha experienced continued growth recognition expertise global service company prolifics provides end-to- end service including architectural advisement design development deployment testing bpm integration security content collaboration solution ha garnered several award technical excellence vision one world ’ admired technology consulting company delivering competitive advantage client benefit prolifics committed providing competitive comprehensive suite benefit fit need employee information benefit offered please refer website http //prolifics.com/careers/benefits-0
74,Flutter Developer,"Responsibilities and Duties*
Strong experience of 1 years in Flutter. Experience in building and triggering APIs."
75,DevOps Engineer,"We are looking for is an experienced DevOps engineer with a passion for systems automation. You will be responsible for managing innovation in our software release processes, increase the robustness and automation."
76,DevOps Engineer,"Comfortable with large-scale, highly-available distributed systems. Experience in Kafka, RabbitMQ or any messaging bus."
77,JavaScript Developer,"Have a good understanding of inheritance and appreciation for object oriented programming concepts in Javascript
Demonstrate familiarty and comfort with Javascript libraries and their quirks, workarounds. (Knowing how to use DOM manipulation frameworks like Jquery and doing validationsor writing an 'if' condition does not necessarily = knowing Javascript)
Have an Intermediate level understanding of HTML5, CSS3 Hands-on experience with any of the JS Frameworks like Angular, React, Backbone etc."
78,Wordpress Developer,"Hands-on experience with Web development technologies, including PHP, HTML, CSS, JavaScript
Demonstrated, excellent skills in custom theme creation customization, plugin selection and customization
Knowledge in implementation of APIs in PHP / Laravel or similar stacks is a plus. Skills

Web API , PHP , HTML , CSS , IT Software ,

Qualifications

Degree"
